#,tree#,Subplot #<E-W>,Subplot #<S-N>,X (E-W) (m),Y (S-N) (m),Species,DBH_2010 (cm),TreeHeight_2010 (m),Canopy projection (cm)_2010_N,Canopy projection (cm)_2010_W,Canopy projection (cm)_2010_S,Canopy projection (cm)_2010_E,Lowest foliage height_2010 (m),DBH2014 (cm),TreeHeight_2014 (m)
194,J195,1,2,7.5,10.18,Picea mariana,0.6,1.4,NA,NA,NA,NA,NA,1,1.44
195,J196,1,2,6.8,10,Picea mariana,NA,1.37,NA,NA,NA,NA,NA,0.6,1.42
196,J360,1,2,6.7,11.52,Picea mariana,1.1,1.47,NA,NA,NA,NA,NA,NA,NA
197,J198,1,2,4.1,11.83,Picea mariana,1.5,1.86,NA,NA,NA,NA,NA,1.6,1.87
198,J199,1,2,2.6,11.19,Picea mariana,1.9,1.96,NA,NA,NA,NA,NA,2.4,2.18
199,J200,1,2,2.7,11.68,Picea mariana,5.4,4.8,NA,NA,NA,NA,NA,5.6,6.7
200,J201,1,2,0.7,11.45,Picea mariana,7.6,5.9,NA,NA,NA,NA,NA,7.3,#VALUE!
201,J202,1,2,1.8,12.82,Picea mariana,1.5,1.66,NA,NA,NA,NA,NA,2.2,1.71
202,J203,1,2,1.9,14.61,Picea mariana,2.7,2.18,NA,NA,NA,NA,NA,3,2.03
203,J204,1,2,2.7,14.55,Picea mariana,2,1.96,NA,NA,NA,NA,NA,2.4,1.98
204,J205,1,2,4,13.23,Picea mariana,3.3,2.74,45,46,46,72,0.2,3.4,2.95
205,J206,1,2,3.8,15.84,Picea mariana,3.4,3.23,NA,NA,NA,NA,NA,3.5,3.16
206,J207,1,2,5.8,15.38,Picea mariana,1.6,1.71,NA,NA,NA,NA,NA,2,1.93
207,J208,1,2,7.7,13.73,Picea mariana,3.9,3.14,NA,NA,NA,NA,NA,3.8,3.21
208,J209,1,2,9.3,13.38,Picea mariana,2.9,2.55,NA,NA,NA,NA,NA,2.9,2.62
209,J210,1,2,8.9,14.75,Picea mariana,2.1,2.24,NA,NA,NA,NA,NA,2.3,2.24
210,J211,1,2,7,15.15,Picea mariana,5.1,4.51,NA,NA,NA,NA,NA,5.3,4.78
211,J212,1,2,7.1,16.14,Picea mariana,5.1,4.46,NA,NA,NA,NA,NA,5.4,4.8
212,J213,1,2,8,16.63,Picea mariana,3.3,2.9,NA,NA,NA,NA,NA,3.3,3
213,J214,1,2,7,16.75,Picea mariana,NA,1.31,NA,NA,NA,NA,NA,,1.38
214,J215,1,2,6.5,16.68,Picea mariana,0.6,1.45,NA,NA,NA,NA,NA,0.7,1.47
215,J216,1,2,5.9,17.21,Picea mariana,1.1,1.62,NA,NA,NA,NA,NA,1.4,1.69
