Year;Month;Day;Hour;Minute;Tair;RH;Prec;Snowdepth
2013;1;6;20;0;-9.90000;93.00000;0.00000;0.50000
2013;1;6;20;30;-9.80000;92.00000;0.00000;0.50000
2013;1;6;21;0;-9.50000;92.00000;0.00000;0.50000
2013;1;6;21;30;-9.70000;92.00000;0.00000;0.50000
2013;1;6;22;0;-9.40000;93.00000;0.00000;0.50000
2013;1;6;22;30;-9.20000;93.00000;0.00000;0.50000
2013;1;6;23;0;-9.10000;92.00000;0.00000;0.50000
2013;1;6;23;30;-8.80000;93.00000;0.00000;0.50000
2013;1;7;0;0;-8.40000;92.00000;0.00000;0.50000
2013;1;7;0;30;-8.50000;92.00000;0.00000;0.50000
2013;1;7;1;0;-8.40000;92.00000;0.00000;0.50000
2013;1;7;1;30;-8.30000;92.00000;0.00000;0.50000
2013;1;7;2;0;-8.20000;92.00000;0.00000;0.50000
2013;1;7;2;30;-8.00000;92.00000;0.00000;0.50000
2013;1;7;3;0;-8.00000;92.00000;0.55000;0.50000
2013;1;7;3;30;-7.90000;92.00000;0.30000;0.50000
2013;1;7;4;0;-7.90000;92.00000;0.15000;0.50000
2013;1;7;4;30;-7.90000;92.00000;0.30000;0.50000
2013;1;7;5;0;-8.00000;92.00000;0.00000;0.51000
2013;1;7;5;30;-8.20000;92.00000;0.25000;0.50000
2013;1;7;6;0;-8.30000;92.00000;0.25000;0.50000
2013;1;7;6;30;-8.40000;92.00000;0.00000;0.50000
2013;1;7;7;0;-8.50000;92.00000;0.35000;0.50000
2013;1;7;7;30;-8.70000;92.00000;0.00000;0.51000
2013;1;7;8;0;-8.80000;92.00000;0.00000;0.52000
2013;1;7;8;30;-9.00000;92.00000;0.00000;0.52000
2013;1;7;9;0;-9.20000;92.00000;0.00000;0.51000
2013;1;7;9;30;-9.40000;92.00000;0.00000;0.51000
2013;1;7;10;0;-9.50000;92.00000;0.00000;0.51000
2013;1;7;10;30;-9.60000;92.00000;0.00000;0.51000
2013;1;7;11;0;-9.60000;92.00000;0.00000;0.51000
2013;1;7;11;30;-9.50000;92.00000;0.00000;0.51000
2013;1;7;12;0;-9.50000;92.00000;0.00000;0.51000
2013;1;7;12;30;-9.50000;92.00000;0.00000;0.51000
2013;1;7;13;0;-9.80000;92.00000;0.00000;0.51000
2013;1;7;13;30;-10.10000;91.00000;0.00000;0.51000
2013;1;7;14;0;-10.20000;91.00000;0.00000;0.51000
2013;1;7;14;30;-10.50000;91.00000;0.00000;0.51000
2013;1;7;15;0;-10.90000;92.00000;0.00000;0.51000
2013;1;7;15;30;-11.20000;91.00000;0.00000;0.51000
2013;1;7;16;0;-11.50000;91.00000;0.00000;0.51000
2013;1;7;16;30;-11.60000;91.00000;0.00000;0.51000
2013;1;7;17;0;-12.00000;90.00000;0.00000;0.51000
2013;1;7;17;30;-11.80000;90.00000;0.00000;0.51000
2013;1;7;18;0;-12.00000;90.00000;0.00000;0.51000
2013;1;7;18;30;-12.40000;90.00000;0.00000;0.51000
2013;1;7;19;0;-12.20000;90.00000;0.00000;0.51000
2013;1;7;19;30;-12.10000;90.00000;0.00000;0.51000
2013;1;7;20;0;-12.20000;89.00000;0.00000;0.51000
2013;1;7;20;30;-12.60000;89.00000;0.00000;0.51000
2013;1;7;21;0;-12.80000;90.00000;0.00000;0.51000
2013;1;7;21;30;-12.60000;90.00000;0.00000;0.51000
2013;1;7;22;0;-12.80000;89.00000;0.00000;0.51000
2013;1;7;22;30;-12.50000;90.00000;0.00000;0.51000
